YearWeek	ScreenID	Screen	Part	Distr	SUISA	OrigTitle	TotPro	TotAdm	TotBox	Dac	Pro_OV_2D	Adm_OV_2D	Box_OV_2D	Pro_GV_2D	Adm_GV_2D	Box_GV_2D	Pro_FV_2D	Adm_FV_2D	Box_FV_2D	Pro_IV_2D	Adm_IV_2D	Box_IV_2D	Pro_OV_3D	Adm_OV_3D	Box_OV_3D	Pro_GV_3D	Adm_GV_3D	Box_GV_3D	Pro_FV_3D	Adm_FV_3D	Box_FV_3D	Pro_IV_3D	Adm_IV_3D	Box_IV_3D	TotPro_OV	TotAdm_OV	TotBox_OV	TotPro_GV	TotAdm_GV	TotBox_GV	TotPro_FV	TotAdm_FV	TotBox_FV	TotPro_IV	TotAdm_IV	TotBox_IV	TotPro_2D	TotAdm_2D	TotBox_2D	TotPro_3D	TotAdm_3D	TotBox_3D
201309	108414	Reinach, TaB* Atelierkino	G	DIVERSE	54935	(Double) Blow Up	2	15	225	t	2	15	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	225	0	0	0	0	0	0	0	0	0	2	15	225	0	0	0
201309	108414	Reinach, TaB* Atelierkino	G	RIALTO	65983	Pippi Långstrump på de sju haven	2	10	128	r	2	10	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	128	0	0	0	0	0	0	0	0	0	2	10	128	0	0	0
201309	108414	Reinach, TaB* Atelierkino	G	NO DISTRIBUTOR	82030	Les Petites Fugues	1	20	299	r	1	20	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	299	0	0	0	0	0	0	0	0	0	1	20	299	0	0	0
201309	108414	Reinach, TaB* Atelierkino	G	UNIVERSAL	84622	The Blues Brothers	2	16	247	r	2	16	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	247	0	0	0	0	0	0	0	0	0	2	16	247	0	0	0
201309	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1002945	In the Mood for Love (Restored)	1	5	71	r	1	5	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	71	0	0	0	0	0	0	0	0	0	1	5	71	0	0	0
201309	108414	Reinach, TaB* Atelierkino	G	NO DISTRIBUTOR	1003819	Das Fliegende Klassenzimmer	1	6	81	r	1	6	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	81	0	0	0	0	0	0	0	0	0	1	6	81	0	0	0
201309	108414	Reinach, TaB* Atelierkino	G	NO DISTRIBUTOR	1005055	Mein Name ist Eugen	1	4	50	r	1	4	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	50	0	0	0	0	0	0	0	0	0	1	4	50	0	0	0
201308	108414	Reinach, TaB* Atelierkino	G	MOVIEBIZ	1009049	Fenster zum Jenseits	1	24	372	r	1	24	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	372	0	0	0	0	0	0	0	0	0	1	24	372	0	0	0
201308	108414	Reinach, TaB* Atelierkino	G	PATHE	1009167	Fünf Freunde 2	3	36	460	r	3	36	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	36	460	0	0	0	0	0	0	0	0	0	3	36	460	0	0	0
201308	108414	Reinach, TaB* Atelierkino	G	WB	1009202	Kokowääh 2	5	154	2218	r	5	154	2218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	154	2218	0	0	0	0	0	0	0	0	0	5	154	2218	0	0	0
